Date d'échéance,Transaction,Taux moyen pondéré,Date de la valeur
17/11/2025,0,"2,180 %",01/09/2025
19/01/2026,0,"2,190 %",01/09/2025
16/03/2026,0,"2,200 %",01/09/2025
15/03/2027,0,"2,210 %",01/09/2025
15/04/2030,0,"2,380 %",01/09/2025
14/10/2030,0,"2,410 %",01/09/2025
18/06/2035,0,"2,720 %",01/09/2025
18/07/2039,0,"3,000 %",01/09/2025
14/08/2045,0,"3,290 %",01/09/2025
19/04/2055,0,"3,730 %",01/09/2025
Total,0,,
